"","routeid","linknummer","richting","snelheid","uur","weekdag"
"926",701663500,2319546,"f",12.6536273264159,15,5
"927",701663500,567028,"t",12.9152370922474,15,5
"928",701663500,82234,"t",12.8437669173298,15,5
"929",701663500,82242,"t",17.7150343560212,15,5
"930",702961282,2319546,"t",18.0211267371051,17,5
"931",713618764,2336323,"t",23.0259548173443,15,1
"932",713618764,2109161,"t",23.5739577791602,15,1
"933",718122054,87782,"t",16.5894306962941,8,6
"934",721686795,86068,"f",16.4818450472762,11,6
"935",721686795,87297,"f",3.68656627394394,11,6
"936",723512993,567310,"t",13.5660325293413,12,6
"937",725680639,567028,"t",14.0314691647163,12,6
"938",730878759,82234,"f",10.1747529447943,12,6
"939",730878759,338542,"f",12.443634784164,12,6
"940",730878759,87782,"t",14.1509693773107,12,6
"941",731889837,87782,"f",14.9310365909657,15,6
"942",732341622,2336323,"t",23.5843546135238,16,6
"943",732341622,2109161,"t",20.1193248348163,16,6
"944",732341622,85908,"t",27.6444269978632,16,6
"945",732341622,86068,"f",18.5692862612982,16,6
"946",732341622,87297,"f",13.2380468527934,16,6
"947",732341622,338814,"t",24.8754501979624,16,6
"948",735651358,338814,"f",25.5174077289456,17,6
"949",735651358,87297,"t",23.7205722103689,17,6
"950",735651358,86068,"t",23.9925591216018,17,6
"951",735651358,85908,"f",17.1331138697624,17,6
"952",735651358,2109156,"t",28.6190220525501,17,6
"953",735651358,2109161,"f",27.1784836861132,17,6
"954",735651358,2336323,"f",24.472397143453,17,6
"955",753528768,83313,"f",24.6266207483706,10,0
"956",753528768,82250,"t",39.249130039748,10,0
"957",753528768,317286,"t",32.5313705733748,10,0
"958",753528768,83469,"f",23.705433296037,10,0
"959",753528768,567310,"f",21.3957781453118,10,0
"960",756211260,83313,"f",14.6011200854032,10,0
"961",756211260,338542,"t",17.4922249613937,10,0
"962",756211260,82234,"t",15.2415124374252,10,0
"963",756211260,82242,"t",12.4674720384293,10,0
"964",756211260,82250,"t",18.8926760887905,10,0
"965",756429790,567310,"t",22.265968659911,13,6
